words,tags,intent,sentence,slots,intent_id
"['We', 'engage', '260', 'knots', 'for', 'descent']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We engage 260 knots for descent,"{'action': 'engage', 'speed': '260', 'phase': 'descent'}",
"['We', 'accelerate', '280', 'knots', 'for', 'landing']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We accelerate 280 knots for landing,"{'action': 'accelerate', 'speed': '280', 'phase': 'landing'}",
"['We', 'accelerate', '205', 'knots', 'for', 'climb']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We accelerate 205 knots for climb,"{'action': 'accelerate', 'speed': '205', 'phase': 'climb'}",
"['We', 'set', '325', 'knots', 'for', 'approach']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We set 325 knots for approach,"{'action': 'set', 'speed': '325', 'phase': 'approach'}",
"['We', 'reduce', '340', 'knots', 'for', 'climb']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We reduce 340 knots for climb,"{'action': 'reduce', 'speed': '340', 'phase': 'climb'}",
"['We', 'decrease', '325', 'knots', 'for', 'landing']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We decrease 325 knots for landing,"{'action': 'decrease', 'speed': '325', 'phase': 'landing'}",
"['We', 'increase', '190', 'knots', 'for', 'landing']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We increase 190 knots for landing,"{'action': 'increase', 'speed': '190', 'phase': 'landing'}",
"['We', 'engage', '345', 'knots', 'for', 'climb']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We engage 345 knots for climb,"{'action': 'engage', 'speed': '345', 'phase': 'climb'}",
"['We', 'push', '340', 'knots', 'for', 'climb']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We push 340 knots for climb,"{'action': 'push', 'speed': '340', 'phase': 'climb'}",
"['We', 'decrease', '290', 'knots', 'for', 'cruise']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We decrease 290 knots for cruise,"{'action': 'decrease', 'speed': '290', 'phase': 'cruise'}",
"['We', 'accelerate', '155', 'knots', 'for', 'landing']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We accelerate 155 knots for landing,"{'action': 'accelerate', 'speed': '155', 'phase': 'landing'}",
"['We', 'decrease', '150', 'knots', 'for', 'climb']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We decrease 150 knots for climb,"{'action': 'decrease', 'speed': '150', 'phase': 'climb'}",
"['We', 'bring', '265', 'knots', 'for', 'cruise']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We bring 265 knots for cruise,"{'action': 'bring', 'speed': '265', 'phase': 'cruise'}",
"['We', 'increase', '315', 'knots', 'for', 'descent']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We increase 315 knots for descent,"{'action': 'increase', 'speed': '315', 'phase': 'descent'}",
"['We', 'reduce', '265', 'knots', 'for', 'climb']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We reduce 265 knots for climb,"{'action': 'reduce', 'speed': '265', 'phase': 'climb'}",
"['We', 'decrease', '245', 'knots', 'for', 'approach']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We decrease 245 knots for approach,"{'action': 'decrease', 'speed': '245', 'phase': 'approach'}",
"['We', 'decrease', '170', 'knots', 'for', 'descent']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We decrease 170 knots for descent,"{'action': 'decrease', 'speed': '170', 'phase': 'descent'}",
"['We', 'decrease', '235', 'knots', 'for', 'approach']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We decrease 235 knots for approach,"{'action': 'decrease', 'speed': '235', 'phase': 'approach'}",
"['We', 'fire', 'up', '305', 'knots', 'for', 'descent']","['O', 'B-action', 'I-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We fire up 305 knots for descent,"{'action': 'fire up', 'speed': '305', 'phase': 'descent'}",
"['We', 'increase', '250', 'knots', 'for', 'approach']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We increase 250 knots for approach,"{'action': 'increase', 'speed': '250', 'phase': 'approach'}",
"['We', 'reduce', '330', 'knots', 'for', 'descent']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We reduce 330 knots for descent,"{'action': 'reduce', 'speed': '330', 'phase': 'descent'}",
"['We', 'decrease', '225', 'knots', 'for', 'descent']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We decrease 225 knots for descent,"{'action': 'decrease', 'speed': '225', 'phase': 'descent'}",
"['We', 'engage', '295', 'knots', 'for', 'approach']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We engage 295 knots for approach,"{'action': 'engage', 'speed': '295', 'phase': 'approach'}",
"['We', 'spin', 'up', '255', 'knots', 'for', 'takeoff']","['O', 'B-action', 'I-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We spin up 255 knots for takeoff,"{'action': 'spin up', 'speed': '255', 'phase': 'takeoff'}",
"['We', 'decrease', '190', 'knots', 'for', 'climb']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We decrease 190 knots for climb,"{'action': 'decrease', 'speed': '190', 'phase': 'climb'}",
"['We', 'bring', '310', 'knots', 'for', 'climb']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We bring 310 knots for climb,"{'action': 'bring', 'speed': '310', 'phase': 'climb'}",
"['We', 'decrease', '200', 'knots', 'for', 'landing']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We decrease 200 knots for landing,"{'action': 'decrease', 'speed': '200', 'phase': 'landing'}",
"['We', 'engage', '340', 'knots', 'for', 'approach']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We engage 340 knots for approach,"{'action': 'engage', 'speed': '340', 'phase': 'approach'}",
"['We', 'start', '160', 'knots', 'for', 'takeoff']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We start 160 knots for takeoff,"{'action': 'start', 'speed': '160', 'phase': 'takeoff'}",
"['We', 'decrease', '210', 'knots', 'for', 'climb']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We decrease 210 knots for climb,"{'action': 'decrease', 'speed': '210', 'phase': 'climb'}",
"['We', 'set', '205', 'knots', 'for', 'landing']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We set 205 knots for landing,"{'action': 'set', 'speed': '205', 'phase': 'landing'}",
"['We', 'start', '335', 'knots', 'for', 'cruise']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We start 335 knots for cruise,"{'action': 'start', 'speed': '335', 'phase': 'cruise'}",
"['We', 'spin', 'up', '315', 'knots', 'for', 'takeoff']","['O', 'B-action', 'I-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We spin up 315 knots for takeoff,"{'action': 'spin up', 'speed': '315', 'phase': 'takeoff'}",
"['We', 'fire', 'up', '335', 'knots', 'for', 'takeoff']","['O', 'B-action', 'I-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We fire up 335 knots for takeoff,"{'action': 'fire up', 'speed': '335', 'phase': 'takeoff'}",
"['We', 'engage', '315', 'knots', 'for', 'takeoff']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We engage 315 knots for takeoff,"{'action': 'engage', 'speed': '315', 'phase': 'takeoff'}",
"['We', 'fire', 'up', '300', 'knots', 'for', 'landing']","['O', 'B-action', 'I-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We fire up 300 knots for landing,"{'action': 'fire up', 'speed': '300', 'phase': 'landing'}",
"['We', 'fire', 'up', '300', 'knots', 'for', 'cruise']","['O', 'B-action', 'I-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We fire up 300 knots for cruise,"{'action': 'fire up', 'speed': '300', 'phase': 'cruise'}",
"['We', 'start', '345', 'knots', 'for', 'climb']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We start 345 knots for climb,"{'action': 'start', 'speed': '345', 'phase': 'climb'}",
"['We', 'start', '270', 'knots', 'for', 'takeoff']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We start 270 knots for takeoff,"{'action': 'start', 'speed': '270', 'phase': 'takeoff'}",
"['We', 'accelerate', '260', 'knots', 'for', 'climb']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We accelerate 260 knots for climb,"{'action': 'accelerate', 'speed': '260', 'phase': 'climb'}",
"['We', 'spin', 'up', '210', 'knots', 'for', 'cruise']","['O', 'B-action', 'I-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We spin up 210 knots for cruise,"{'action': 'spin up', 'speed': '210', 'phase': 'cruise'}",
"['We', 'engage', '190', 'knots', 'for', 'landing']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We engage 190 knots for landing,"{'action': 'engage', 'speed': '190', 'phase': 'landing'}",
"['We', 'start', '150', 'knots', 'for', 'approach']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We start 150 knots for approach,"{'action': 'start', 'speed': '150', 'phase': 'approach'}",
"['We', 'set', '185', 'knots', 'for', 'landing']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We set 185 knots for landing,"{'action': 'set', 'speed': '185', 'phase': 'landing'}",
"['We', 'set', '240', 'knots', 'for', 'cruise']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We set 240 knots for cruise,"{'action': 'set', 'speed': '240', 'phase': 'cruise'}",
"['We', 'start', '200', 'knots', 'for', 'climb']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We start 200 knots for climb,"{'action': 'start', 'speed': '200', 'phase': 'climb'}",
"['We', 'spin', 'up', '250', 'knots', 'for', 'descent']","['O', 'B-action', 'I-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We spin up 250 knots for descent,"{'action': 'spin up', 'speed': '250', 'phase': 'descent'}",
"['We', 'spin', 'up', '335', 'knots', 'for', 'descent']","['O', 'B-action', 'I-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We spin up 335 knots for descent,"{'action': 'spin up', 'speed': '335', 'phase': 'descent'}",
"['We', 'reduce', '195', 'knots', 'for', 'landing']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We reduce 195 knots for landing,"{'action': 'reduce', 'speed': '195', 'phase': 'landing'}",
"['We', 'decrease', '190', 'knots', 'for', 'cruise']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We decrease 190 knots for cruise,"{'action': 'decrease', 'speed': '190', 'phase': 'cruise'}",
"['We', 'start', '325', 'knots', 'for', 'climb']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We start 325 knots for climb,"{'action': 'start', 'speed': '325', 'phase': 'climb'}",
"['We', 'reduce', '310', 'knots', 'for', 'approach']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We reduce 310 knots for approach,"{'action': 'reduce', 'speed': '310', 'phase': 'approach'}",
"['We', 'start', '190', 'knots', 'for', 'descent']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We start 190 knots for descent,"{'action': 'start', 'speed': '190', 'phase': 'descent'}",
"['We', 'decrease', '325', 'knots', 'for', 'cruise']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We decrease 325 knots for cruise,"{'action': 'decrease', 'speed': '325', 'phase': 'cruise'}",
"['We', 'spin', 'up', '300', 'knots', 'for', 'landing']","['O', 'B-action', 'I-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We spin up 300 knots for landing,"{'action': 'spin up', 'speed': '300', 'phase': 'landing'}",
"['We', 'start', '300', 'knots', 'for', 'takeoff']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We start 300 knots for takeoff,"{'action': 'start', 'speed': '300', 'phase': 'takeoff'}",
"['We', 'accelerate', '215', 'knots', 'for', 'approach']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We accelerate 215 knots for approach,"{'action': 'accelerate', 'speed': '215', 'phase': 'approach'}",
"['We', 'set', '155', 'knots', 'for', 'cruise']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We set 155 knots for cruise,"{'action': 'set', 'speed': '155', 'phase': 'cruise'}",
"['We', 'accelerate', '195', 'knots', 'for', 'cruise']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We accelerate 195 knots for cruise,"{'action': 'accelerate', 'speed': '195', 'phase': 'cruise'}",
"['We', 'push', '155', 'knots', 'for', 'cruise']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We push 155 knots for cruise,"{'action': 'push', 'speed': '155', 'phase': 'cruise'}",
"['We', 'engage', '155', 'knots', 'for', 'cruise']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We engage 155 knots for cruise,"{'action': 'engage', 'speed': '155', 'phase': 'cruise'}",
"['We', 'increase', '165', 'knots', 'for', 'cruise']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We increase 165 knots for cruise,"{'action': 'increase', 'speed': '165', 'phase': 'cruise'}",
"['We', 'spin', 'up', '150', 'knots', 'for', 'climb']","['O', 'B-action', 'I-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We spin up 150 knots for climb,"{'action': 'spin up', 'speed': '150', 'phase': 'climb'}",
"['We', 'reduce', '235', 'knots', 'for', 'descent']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We reduce 235 knots for descent,"{'action': 'reduce', 'speed': '235', 'phase': 'descent'}",
"['We', 'engage', '225', 'knots', 'for', 'descent']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We engage 225 knots for descent,"{'action': 'engage', 'speed': '225', 'phase': 'descent'}",
"['We', 'increase', '235', 'knots', 'for', 'takeoff']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We increase 235 knots for takeoff,"{'action': 'increase', 'speed': '235', 'phase': 'takeoff'}",
"['We', 'bring', '185', 'knots', 'for', 'cruise']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We bring 185 knots for cruise,"{'action': 'bring', 'speed': '185', 'phase': 'cruise'}",
"['We', 'reduce', '165', 'knots', 'for', 'takeoff']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We reduce 165 knots for takeoff,"{'action': 'reduce', 'speed': '165', 'phase': 'takeoff'}",
"['We', 'increase', '160', 'knots', 'for', 'approach']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We increase 160 knots for approach,"{'action': 'increase', 'speed': '160', 'phase': 'approach'}",
"['We', 'reduce', '210', 'knots', 'for', 'approach']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We reduce 210 knots for approach,"{'action': 'reduce', 'speed': '210', 'phase': 'approach'}",
"['We', 'bring', '220', 'knots', 'for', 'cruise']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We bring 220 knots for cruise,"{'action': 'bring', 'speed': '220', 'phase': 'cruise'}",
"['We', 'increase', '190', 'knots', 'for', 'approach']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We increase 190 knots for approach,"{'action': 'increase', 'speed': '190', 'phase': 'approach'}",
"['We', 'decrease', '230', 'knots', 'for', 'descent']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We decrease 230 knots for descent,"{'action': 'decrease', 'speed': '230', 'phase': 'descent'}",
"['We', 'accelerate', '315', 'knots', 'for', 'landing']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We accelerate 315 knots for landing,"{'action': 'accelerate', 'speed': '315', 'phase': 'landing'}",
"['We', 'engage', '190', 'knots', 'for', 'approach']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We engage 190 knots for approach,"{'action': 'engage', 'speed': '190', 'phase': 'approach'}",
"['We', 'set', '250', 'knots', 'for', 'cruise']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We set 250 knots for cruise,"{'action': 'set', 'speed': '250', 'phase': 'cruise'}",
"['We', 'decrease', '170', 'knots', 'for', 'landing']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We decrease 170 knots for landing,"{'action': 'decrease', 'speed': '170', 'phase': 'landing'}",
"['We', 'spin', 'up', '285', 'knots', 'for', 'approach']","['O', 'B-action', 'I-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We spin up 285 knots for approach,"{'action': 'spin up', 'speed': '285', 'phase': 'approach'}",
"['We', 'push', '335', 'knots', 'for', 'climb']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We push 335 knots for climb,"{'action': 'push', 'speed': '335', 'phase': 'climb'}",
"['We', 'engage', '205', 'knots', 'for', 'climb']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We engage 205 knots for climb,"{'action': 'engage', 'speed': '205', 'phase': 'climb'}",
"['We', 'engage', '200', 'knots', 'for', 'takeoff']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We engage 200 knots for takeoff,"{'action': 'engage', 'speed': '200', 'phase': 'takeoff'}",
"['We', 'start', '220', 'knots', 'for', 'takeoff']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We start 220 knots for takeoff,"{'action': 'start', 'speed': '220', 'phase': 'takeoff'}",
"['We', 'push', '155', 'knots', 'for', 'cruise']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We push 155 knots for cruise,"{'action': 'push', 'speed': '155', 'phase': 'cruise'}",
"['We', 'push', '330', 'knots', 'for', 'cruise']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We push 330 knots for cruise,"{'action': 'push', 'speed': '330', 'phase': 'cruise'}",
"['We', 'decrease', '280', 'knots', 'for', 'landing']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We decrease 280 knots for landing,"{'action': 'decrease', 'speed': '280', 'phase': 'landing'}",
"['We', 'push', '155', 'knots', 'for', 'takeoff']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We push 155 knots for takeoff,"{'action': 'push', 'speed': '155', 'phase': 'takeoff'}",
"['We', 'fire', 'up', '340', 'knots', 'for', 'climb']","['O', 'B-action', 'I-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We fire up 340 knots for climb,"{'action': 'fire up', 'speed': '340', 'phase': 'climb'}",
"['We', 'bring', '295', 'knots', 'for', 'descent']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We bring 295 knots for descent,"{'action': 'bring', 'speed': '295', 'phase': 'descent'}",
"['We', 'increase', '155', 'knots', 'for', 'descent']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We increase 155 knots for descent,"{'action': 'increase', 'speed': '155', 'phase': 'descent'}",
"['We', 'accelerate', '340', 'knots', 'for', 'climb']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We accelerate 340 knots for climb,"{'action': 'accelerate', 'speed': '340', 'phase': 'climb'}",
"['We', 'reduce', '340', 'knots', 'for', 'climb']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We reduce 340 knots for climb,"{'action': 'reduce', 'speed': '340', 'phase': 'climb'}",
"['We', 'start', '180', 'knots', 'for', 'landing']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We start 180 knots for landing,"{'action': 'start', 'speed': '180', 'phase': 'landing'}",
"['We', 'bring', '315', 'knots', 'for', 'approach']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We bring 315 knots for approach,"{'action': 'bring', 'speed': '315', 'phase': 'approach'}",
"['We', 'decrease', '340', 'knots', 'for', 'approach']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We decrease 340 knots for approach,"{'action': 'decrease', 'speed': '340', 'phase': 'approach'}",
"['We', 'reduce', '260', 'knots', 'for', 'landing']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We reduce 260 knots for landing,"{'action': 'reduce', 'speed': '260', 'phase': 'landing'}",
"['We', 'reduce', '195', 'knots', 'for', 'descent']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We reduce 195 knots for descent,"{'action': 'reduce', 'speed': '195', 'phase': 'descent'}",
"['We', 'engage', '235', 'knots', 'for', 'descent']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We engage 235 knots for descent,"{'action': 'engage', 'speed': '235', 'phase': 'descent'}",
"['We', 'start', '290', 'knots', 'for', 'cruise']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We start 290 knots for cruise,"{'action': 'start', 'speed': '290', 'phase': 'cruise'}",
"['We', 'set', '320', 'knots', 'for', 'climb']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We set 320 knots for climb,"{'action': 'set', 'speed': '320', 'phase': 'climb'}",
"['We', 'spin', 'up', '170', 'knots', 'for', 'descent']","['O', 'B-action', 'I-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We spin up 170 knots for descent,"{'action': 'spin up', 'speed': '170', 'phase': 'descent'}",
"['We', 'decrease', '175', 'knots', 'for', 'descent']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We decrease 175 knots for descent,"{'action': 'decrease', 'speed': '175', 'phase': 'descent'}",
"['We', 'start', '150', 'knots', 'for', 'takeoff']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We start 150 knots for takeoff,"{'action': 'start', 'speed': '150', 'phase': 'takeoff'}",
"['We', 'start', '150', 'knots', 'for', 'cruise']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We start 150 knots for cruise,"{'action': 'start', 'speed': '150', 'phase': 'cruise'}",
"['We', 'reduce', '200', 'knots', 'for', 'climb']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We reduce 200 knots for climb,"{'action': 'reduce', 'speed': '200', 'phase': 'climb'}",
"['We', 'decrease', '315', 'knots', 'for', 'approach']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We decrease 315 knots for approach,"{'action': 'decrease', 'speed': '315', 'phase': 'approach'}",
"['We', 'spin', 'up', '245', 'knots', 'for', 'landing']","['O', 'B-action', 'I-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We spin up 245 knots for landing,"{'action': 'spin up', 'speed': '245', 'phase': 'landing'}",
"['We', 'accelerate', '265', 'knots', 'for', 'landing']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We accelerate 265 knots for landing,"{'action': 'accelerate', 'speed': '265', 'phase': 'landing'}",
"['We', 'push', '210', 'knots', 'for', 'descent']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We push 210 knots for descent,"{'action': 'push', 'speed': '210', 'phase': 'descent'}",
"['We', 'start', '200', 'knots', 'for', 'landing']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We start 200 knots for landing,"{'action': 'start', 'speed': '200', 'phase': 'landing'}",
"['We', 'push', '345', 'knots', 'for', 'climb']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We push 345 knots for climb,"{'action': 'push', 'speed': '345', 'phase': 'climb'}",
"['We', 'set', '330', 'knots', 'for', 'takeoff']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We set 330 knots for takeoff,"{'action': 'set', 'speed': '330', 'phase': 'takeoff'}",
"['We', 'increase', '155', 'knots', 'for', 'landing']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We increase 155 knots for landing,"{'action': 'increase', 'speed': '155', 'phase': 'landing'}",
"['We', 'push', '205', 'knots', 'for', 'climb']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We push 205 knots for climb,"{'action': 'push', 'speed': '205', 'phase': 'climb'}",
"['We', 'push', '175', 'knots', 'for', 'cruise']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We push 175 knots for cruise,"{'action': 'push', 'speed': '175', 'phase': 'cruise'}",
"['We', 'start', '335', 'knots', 'for', 'approach']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We start 335 knots for approach,"{'action': 'start', 'speed': '335', 'phase': 'approach'}",
"['We', 'accelerate', '175', 'knots', 'for', 'landing']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We accelerate 175 knots for landing,"{'action': 'accelerate', 'speed': '175', 'phase': 'landing'}",
"['We', 'bring', '330', 'knots', 'for', 'takeoff']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We bring 330 knots for takeoff,"{'action': 'bring', 'speed': '330', 'phase': 'takeoff'}",
"['We', 'bring', '245', 'knots', 'for', 'approach']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We bring 245 knots for approach,"{'action': 'bring', 'speed': '245', 'phase': 'approach'}",
"['We', 'bring', '200', 'knots', 'for', 'takeoff']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We bring 200 knots for takeoff,"{'action': 'bring', 'speed': '200', 'phase': 'takeoff'}",
"['We', 'reduce', '235', 'knots', 'for', 'cruise']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We reduce 235 knots for cruise,"{'action': 'reduce', 'speed': '235', 'phase': 'cruise'}",
"['We', 'decrease', '220', 'knots', 'for', 'cruise']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We decrease 220 knots for cruise,"{'action': 'decrease', 'speed': '220', 'phase': 'cruise'}",
"['We', 'decrease', '345', 'knots', 'for', 'descent']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We decrease 345 knots for descent,"{'action': 'decrease', 'speed': '345', 'phase': 'descent'}",
"['We', 'increase', '330', 'knots', 'for', 'approach']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We increase 330 knots for approach,"{'action': 'increase', 'speed': '330', 'phase': 'approach'}",
"['We', 'push', '165', 'knots', 'for', 'landing']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We push 165 knots for landing,"{'action': 'push', 'speed': '165', 'phase': 'landing'}",
"['We', 'spin', 'up', '340', 'knots', 'for', 'cruise']","['O', 'B-action', 'I-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We spin up 340 knots for cruise,"{'action': 'spin up', 'speed': '340', 'phase': 'cruise'}",
"['We', 'accelerate', '175', 'knots', 'for', 'descent']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We accelerate 175 knots for descent,"{'action': 'accelerate', 'speed': '175', 'phase': 'descent'}",
"['We', 'push', '160', 'knots', 'for', 'takeoff']","['O', 'B-action', 'B-speed', 'O', 'O', 'B-phase']",1.0,We push 160 knots for takeoff,"{'action': 'push', 'speed': '160', 'phase': 'takeoff'}",
